time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,-4.34159758377e-07,1.01530132785e-07,10.0026758423,0.000114752207605,0.000385872549319,0.0,-3.62376114826e-05,9.39733875521e-06,0.0891912316007,0.00548698951865,0.0169109223647,0.0,433.24080029388085,434.66000468474726,432.73181985038605,433.1933385697644
0.12000000000000001,-1.82685895134e-05,5.71203696995e-06,10.0165038033,0.000771500634582,0.00184410829422,0.0,-0.000721704062684,0.000243517543031,0.371691306053,0.0200871426868,0.0360394028856,0.0,489.7311021818686,491.1516105965205,491.88042656474056,492.9601608085505
0.18,-0.000119843913549,4.65144682185e-05,10.0470431909,0.00229489882371,0.00413788049251,0.0,-0.00294914655178,0.00129302232707,0.64617260947,0.0343089630788,0.0422838584563,0.0,489.19764776649055,489.6628879143907,488.68915653365275,489.7479795189656
0.23999999999999996,-0.000399860918589,0.000183287333129,10.0903105799,0.00416890542094,0.00736035270595,0.0,-0.00670636771995,0.00348181496783,0.795978601155,0.0242385124399,0.0701008801478,0.0,451.8971081188582,454.1352544774215,453.1526117319379,452.34280477628624
0.3,-0.000979672552776,0.000488703241554,10.1421483528,0.00521639420761,0.0119789629385,0.0,-0.0130962460839,0.00683850882901,0.931840956897,-0.00171499063549,0.0880399860905,0.0,448.38623191651675,449.8455655442464,449.5526776172501,447.4449872198837
0.36000000000000004,-0.00204531259125,0.0010112417207,10.2019836894,0.00517460887096,0.0174554101077,0.0,-0.022997522801,0.0105711794247,1.06254954514,0.0012667931439,0.0970600492239,0.0,447.762328919131,448.502331461328,446.6497111628792,446.8928114099373
0.4200000000000001,-0.00384335080054,0.00176294502645,10.2706448638,0.00473683030193,0.0231001078872,0.0,-0.0375737055237,0.014477428943,1.22598246308,-0.0359889667458,0.0873307828302,0.0,458.97458949195084,458.2090323505555,458.4249395498526,455.4553172892629
0.48000000000000015,-0.00658918132735,0.0027208297649,10.3469396284,0.00319487958536,0.0287156106792,0.0,-0.0545003149291,0.017270663322,1.31706212022,-0.0105254672358,0.103835435215,0.0,434.87073948333915,436.25839206533954,434.6531405734039,436.78145774020163
0.5400000000000001,-0.0104722540852,0.00382026912804,10.4288259975,0.00261769011064,0.0348133500219,0.0,-0.0755569331927,0.0193157298096,1.41235042649,-0.00786740719986,0.0968084180771,0.0,437.69380872342157,437.11776733559356,436.96807331982274,437.1896990596334
0.6000000000000002,-0.0156843314927,0.00502695299561,10.5148106654,0.00198986242768,0.0402601498987,0.0,-0.0987062447601,0.0208560933748,1.45373268445,-0.0162408187592,0.0746373172397,0.0,420.8330655349989,418.9169849486881,420.5874962155502,419.86183098410606
0.6600000000000003,-0.0225206233948,0.00631858010716,10.6065855623,0.00110887425987,0.0453093935637,0.0,-0.129689467668,0.0220962176983,1.60520611419,-0.0117369248766,0.0984514176931,0.0,453.5002209799618,455.41427820691047,455.7818150283232,456.1417085263859
0.7200000000000003,-0.0313386837433,0.00766667904954,10.7075467241,0.00081536487145,0.0517424322946,0.0,-0.164919431493,0.0227881515824,1.75990514048,0.00613667692661,0.120635439724,0.0,455.39988803434966,457.18027627950676,456.37164848121796,457.79602181515895
0.7800000000000004,-0.0423670030569,0.00905269492403,10.8167972933,0.00102735442684,0.0593569640213,0.0,-0.203464895451,0.0234433012744,1.88154113172,-0.00226205162356,0.13716691378,0.0,446.30289195945124,447.6644418635895,447.4959709077124,446.8117680660831
0.8400000000000004,-0.0560904134779,0.0104840783361,10.9368880926,0.000704272056294,0.0671831711107,0.0,-0.254948380916,0.0242419413851,2.12100399966,-0.0125045865287,0.111507938387,0.0,484.3870158304521,482.46742918974866,482.77470969038984,482.00140646866726
0.9000000000000005,-0.0728976161199,0.0119510325977,11.0685227702,6.28275461694,0.073649982005,0.0,-0.305989951001,0.0245591087058,2.26648318156,-0.0365595207321,0.0990354977922,0.0,455.9159701410634,454.9282448786452,457.482324426778,455.5630155309171
0.9600000000000005,-0.0928253905427,0.0134071128698,11.2077666762,6.28013951321,0.080518478064,0.0,-0.35892572161,0.0237353792408,2.3746999521,-0.0638258960717,0.134720584178,0.0,442.6731829666823,445.6108375326605,447.2511007901115,445.02363480748556
1.0200000000000005,-0.115950960242,0.0147586635241,11.3519200991,6.27636673501,0.0882759545188,0.0,-0.412676698135,0.0209543805011,2.43022020389,-0.0610521040951,0.115304874537,0.0,429.97967507566136,428.34744085014285,428.5730290534025,428.80569273218794
1.0800000000000005,-0.143012194629,0.0158238955261,11.5056746187,6.27260367063,0.0953472367225,0.0,-0.490196573507,0.014090058779,2.69424230761,-0.0662747057814,0.122516409898,0.0,493.0199924602685,493.56343907918614,492.1580733979531,491.76894842078156
1.1400000000000006,-0.174895121876,0.0163815703156,11.6751036215,6.26877829821,0.103537997031,0.0,-0.57349297181,0.00401903443321,2.95263124173,-0.0591450428033,0.155445304459,0.0,490.35711693169327,492.8117422206722,492.9817258972699,493.5057079789805
1.2000000000000006,-0.211489659028,0.0163132820181,11.8552501061,6.26632691887,0.113150300284,0.0,-0.64726414942,-0.0065807572336,3.05185480077,-0.0182346064854,0.168329711063,0.0,445.70797488312036,446.78386800576703,445.01955963791295,448.3544580099809
1.2600000000000007,-0.252689703708,0.015569724102,12.0411317562,6.26509256935,0.122881737841,0.0,-0.727046134179,-0.0183143748784,3.14379643529,-0.0257139815445,0.145644097673,0.0,444.8325218200268,442.9955937661788,446.46919418245153,445.8585459019004
