time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4,episode,total_reward
1.5000000000000009,0.20216459067,0.536439138289,0.0,4.33556582546,5.11351272507,0.0,0.463892140705,0.603340914276,-15.056093289,8.24922875214,-1.32497361281,0.0,184.184085931,197.6691366,209.952045785,355.532276729,1,-5.08724569394
1.5000000000000009,0.203035163784,0.536535613427,0.0,4.33208665105,5.11848247508,0.0,0.461685458582,0.602443008143,-15.0421036173,8.27204618049,-1.31493729745,0.0,184.48951772,198.259417194,209.713985541,355.536460065,2,-5.08635671428
1.5000000000000009,0.31115330294,0.581153772479,0.0,4.9042545703,4.89214016736,0.0,1.14894345759,0.632690448087,-15.4627407098,9.5364419196,-2.99025140313,0.0,229.741406687,180.177565188,268.199136565,446.027614004,3,-5.08648652273
1.620000000000001,3.31464705681,-3.46757954087,0.0,5.64264065196,2.42207828378,0.0,4.60851977737,-3.86621902602,-13.1750121097,9.1408110793,-7.97897528324,0.0,207.876300538,69.8972089764,730.525294972,783.277396473,4,-5.57756638596
1.5000000000000009,3.47799519867,-5.65628805114,0.0,4.25523070423,0.497694223321,0.0,5.21547078684,-5.44760974073,-15.2368346618,14.1318732388,3.4406361663,0.0,53.5646060063,218.177869153,704.775445606,845.863475162,5,-5.02833892502
1.560000000000001,-2.00086024681,0.0780458953024,0.0,1.36744484958,3.84750389861,0.0,-3.56062830501,1.93092923782,-13.603639487,26.4549902527,18.003942207,0.0,48.4603957167,571.148286359,223.506317901,871.45837737,6,-5.27950357533
1.4400000000000008,-0.739176254116,-4.64465011554,0.0,5.657650544,1.14642673168,0.0,0.207352846653,-8.98562331761,-17.2043413227,28.4343648721,25.5506368102,0.0,287.676229927,872.543267958,65.6071375679,894.120709903,7,-4.67238495887
1.3200000000000007,-3.67990187947,5.58747602736,0.0,2.74787000227,4.36232490285,0.0,-4.03844972705,3.28252009876,-19.0395027536,28.7231320042,15.1589634976,0.0,651.70229731,815.286306427,7.43445721426,897.235950403,8,-4.21815867121
1.680000000000001,-12.227747964,1.23030480874,0.0,0.725238382933,2.66891463748,0.0,-13.8426411452,1.43128101237,-14.2966875285,28.7657408147,4.05605827444,0.0,882.40159605,884.187936426,9.69098966467,898.495871963,9,-5.35601167772
1.740000000000001,1.68587883775,1.83641643896,0.0,2.63704381694,0.188772849963,0.0,0.13338762056,1.85608389659,-14.1703185862,28.6911461627,0.124024066285,0.0,871.368593839,868.4495501,3.50835303514,894.823011394,10,-5.62191644213
1.740000000000001,1.87746365916,1.85012434914,0.0,2.63924989728,0.0252479533273,0.0,1.9451567731,1.87992111343,-14.1954369051,28.7724313438,-0.0462290557551,0.0,882.129388531,871.785470256,2.57818036317,896.441348123,11,-5.62298632817
1.740000000000001,4.68394396203,1.82251738669,0.0,2.58426161778,6.14065844786,0.0,6.78756210259,1.85278645926,-13.778755156,28.8418816324,0.157923699091,0.0,898.796044189,899.266748347,0.523749126081,900.180091044,12,-5.61929374029
1.740000000000001,6.58177083595,1.80259755471,0.0,2.55170449027,5.8157566765,0.0,11.3854656725,1.68498983558,-13.0220050522,28.8335174185,-0.325876738075,0.0,899.046969458,899.052918417,-0.720840446639,899.851625688,13,-5.61002520414
1.740000000000001,9.61907021796,1.84237293047,0.0,2.66890543931,5.45403900097,0.0,17.3744894244,1.42049516863,-12.151372869,28.852902703,-0.585664112207,0.0,900.15981031,899.832665137,0.429055208927,900.627353442,14,-5.59382427173
1.740000000000001,9.30694146474,1.77505720166,0.0,2.62751172305,5.60343795995,0.0,15.9470636634,1.51398563715,-12.2338768796,28.8248093914,-0.489086735302,0.0,899.708581977,899.017144979,0.406958439024,899.629962654,15,-5.59020615891
1.740000000000001,21.0662930431,1.77536524934,0.0,2.57640018754,3.06843002382,0.0,31.4996025081,-0.0450773772721,-13.8237039685,28.8283952398,-1.6971400853,0.0,900.10129624,899.730460642,0.408972059786,899.863929805,16,-5.58724130937
1.740000000000001,20.9749035049,1.762803207,0.0,2.61074123201,2.91453040541,0.0,30.6572329013,-0.0107707107154,-14.1471285218,28.8245727975,-1.86620551853,0.0,899.913642331,899.434593931,-0.500297384791,899.63010788,17,-5.57709287576
1.8600000000000012,-3.42657607253,1.8647602346,0.0,6.05993307533,6.13636046799,0.0,-8.24560052258,0.995222858259,-13.7011402036,28.566914184,-21.8777246454,0.0,873.545270083,469.252958016,48.5754869031,894.282928777,18,-5.99195680241
1.9200000000000013,-26.850519318,5.58310689522,0.0,1.38302101381,1.4482293635,0.0,-17.3508818643,5.60204680017,-17.6357142191,28.7631596077,-28.6722322198,0.0,899.015684325,70.7528358653,64.8911695169,900.151736895,19,-5.77259926715
1.620000000000001,2.88313385826,-0.236044589965,0.0,5.48183088075,2.08073338031,0.0,-0.700161329161,-1.15964329462,-13.1300618808,28.8432850361,-9.79190553767,0.0,898.311344257,872.083523368,-0.566463808515,900.423292507,20,-5.25912877218
1.680000000000001,0.890242295286,-0.635474422977,0.0,0.891716438516,1.91369244081,0.0,-5.56431273992,-1.12760211429,-13.7636371701,28.8370264902,-8.44986016884,0.0,898.469494787,884.135880791,0.0474510631179,900.232087331,21,-5.48176633636
1.740000000000001,-4.79246565447,-0.818068985095,0.0,2.58149587475,0.848246014386,0.0,-13.4524498739,-1.95700443425,-14.2255514298,28.7576703054,-18.045596303,0.0,885.488644168,695.320414715,5.47514623208,898.266153068,22,-5.67579606749
